SITE,X,Y,JULIAN,PERIOD,OM,P,K,CA,MG,ZN,soilNA,S,PH,TEXTURE,SAND,CLAY,SILT,LICHEN,LITTER,MOSS,ROAD,ROCK,ROOT,SOIL,STREAM,TRAMPLING,TRASH,WATER,WOOD,WRACKI,CRUSTACEAN,CANOPY,Acer rubrum,Acer saccharinum,Asimina triloba,Carpinus caroliniana,Carya carolinae-septentrionalis,Carya glabra,Carya ovata,Carya pallida,Carya sp,Carya tomentosa ,Cercis canadensis,Cornus florida,Fagus grandifolia,Fraxinus americana,Fraxinus pennsylvanica,Fraxinus sp,Hamamelis virginiana,Ilex decidua ,Liquidambar styraciflua ,Liriodendron tulipfera,Magnolia sp,Morus rubra,Nyssa sylvatica,Pinus taeda,Platanus occidentalis,Prunus americana,Prunus serotina,Quercus alba,Quercus coccinea,Quercus falcata,Quercus lyrata,Quercus marilandica,Quercus nigra,Quercus pagoda,Quercus phellos,Quercus stellata,Quercus velutina,Taxodium distichum,Ulmus alata,Ulmus americana,Ulmus rubra,Ulmus sp,ELEV,WATER 20,WATER 150,WATER 500,TRANSPORT,OWNERSHIP,GRASS,MIXFOR,DEVOP,DECID,WETE,PAST,OPENH20,EVRGRN,SHRSCR,BARREN,DEVLO,WETW,CROP,DEVMED,DEVHI,DISTURB,INTENSITY
2090,31,20,2454259.5,1,1.76,32,153,1012,813,3.8,81,253,4.6,Sandy Loam,0.56,0.16,0.28,0,93.3,0,0,0,0,0,0,0,0,0,6.7,0,0,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,300,USFWS,1965,0,256,404,774,1224,1032,30,124,7995,2613,85,1189,6065,10667,STORM,MED
2096,23,22,2454256.5,1,0.98,17,109,381,95,1.5,64,141,5.3,Sandy Loam,0.74,0.08,0.18,0,100,0,0,0,0,0,0,0,0,0,0,0,0,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,360,MDWFP,162,0,362,30,323,872,1183,30,446,5861,664,120,693,2590,11396,MOW,HIGH
2108,34,10,2454262.5,1,3.53,31,292,1943,1206,5.4,99,508,4.7,Loam,0.52,0.2,0.28,0,100,0,0,0,0,0,0,0,0,0,0,0,0,91.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,97.2,0,0,0,360,USFWS,1470,0,360,108,366,1015,2550,124,120,7564,3662,30,1642,11067,17216,FIRE,LOW
2109,19,27,2454634.5,1,1.43,36,114,579,233,0.9,99,206,4.8,Sandy Loam,0.67,0.07,0.27,0,96.7,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,35,PVT,685,258,42,170,1048,469,666,0,60,8668,1283,210,1129,2620,9445,MOW,HIGH
2135,32,10,2454238.5,1,2.47,59,311,894,592,3.4,150,356,4.4,Loam,0.39,0.25,0.35,0,63.3,3.3,0,0,6.7,10,0,0,0,6.7,0,16.7,0,85,0,0,0,0.1,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,103,0,0,0,355,USFWS,1948,153,360,162,918,42,3485,108,930,5732,4146,0,1621,10546,17719,NONE,NONE
2141,33,16,2454262.5,1,2.21,32,79,40,63,1.9,127,318,4.4,Sandy Loam,0.7,0.08,0.22,0,73.3,0,0,0,26.7,0.3,0,0,0,0,0,0,0,97,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.9,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.5,0,0,0,380,USFWS,1041,134,351,726,830,418,408,42,618,8094,1771,0,684,7844,14912,FIRE,LOW
2153,28,9,2454655.5,1,5.59,65,215,2686,566,2.9,112,805,5.3,Sandy Loam,0.7,0.08,0.22,0,91.7,0,0,0,0,0,0,0,0,0,8.3,0,0,87.25,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0.1,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,114.2,0,0,0,405,USFWS,979,0,371,218,845,285,1516,30,256,2455,2322,30,426,7915,14067,FIRE,MED
2158,29,14,2454256.5,1,2.74,27,329,2831,1344,6.3,85,395,5.1,Sandy Clay Loam,0.48,0.26,0.26,0,86.7,0,0,0,0,13.3,0,0,0,0,0,0,0,81.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.2,0,0,0,60,USFWS,361,95,42,212,750,882,808,0,576,4339,4330,30,808,6633,16611,FIRE,MED
2164,23,8,2454634.5,1,4.37,35,187,2130,415,6.8,119,629,5.3,Sandy Loam,0.58,0.09,0.33,0,86.7,0,0,0,0,0,0,0,0,0,13.3,0,0,90,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.3,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,186.8,0,0,0,375,USFWS,1084,30,433,124,1690,1515,1460,0,361,3481,2301,942,3586,5875,8939,NONE,NONE
2170,24,22,2454256.5,1,1.31,16,69,194,52,1.2,60,189,4.4,Sandy Loam,0.6,0.1,0.3,0,76.7,0,0,0,0,0,0,0,0,0,23.3,0,0,93.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1.1,0,0,0,0,0,0,80,0,0,0,355,USFWS,735,30,339,351,404,1380,636,212,488,6170,450,0,481,3565,10704,STORM,HIGH
2171,24,19,2454256.5,1,2.11,111,106,818,214,10.4,63,304,5.1,Sandy Loam,0.7,0.11,0.19,0,76.7,0,0,0,16.7,0,0,3.3,0,0,3.3,0,0,97.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.6,0,0,0,111,0,0,5,90,USFWS,1431,30,182,0,306,400,283,85,240,2955,713,150,793,1860,13762,STORM,LOW
2202,23,8,2454256.5,1,3.71,9,141,4300,615,4.6,66,534,6,Sandy Loam,0.68,0.14,0.18,0,76.7,0,0,0,13.3,0,0,0,0,0,10,0,0,87.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,115,USFWS,1142,150,153,108,1850,1290,1650,0,258,3185,2475,1092,3556,5943,9218,NONE,NONE
2219,24,24,2454256.5,1,3.15,31,236,1886,949,3.9,120,454,5,Sandy Loam,0.66,0.18,0.16,0,90,0,0,0,0,0,0,0,0,0,10,0,0,91.25,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.9,0,0,0.2,0,0,0,101,0,0,0,620,USFWS,1411,30,624,0,840,1080,722,108,553,7457,679,212,616,4533,9501,STORM,LOW
2231,31,18,2454259.5,1,2.72,57,165,2160,979,13.3,82,392,5,Loam,0.44,0.18,0.38,0,53.3,0,0,0,0,26.7,0,0,0,0,20,0,0,95,0.4,0,0,0.4,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0,87,0,0,0,840,USFWS,2333,792,1513,778,1803,2730,1790,895,1731,6851,4145,0,2941,7946,12785,STORM,MED
2247,35,17,2454308.5,1,4.18,229,339,2685,1263,24,155,602,4.6,Sandy Clay Loam,0.48,0.28,0.23,0,0,0,0,0,0,0,0,0,0,100,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,67,0,0,0,380,USFWS,828,560,618,566,371,1187,0,607,684,10704,685,30,1019,5246,13572,MOW,MED
2255,30,6,2454238.5,1,2,13,110,416,292,2.1,60,288,4.3,Loam,0.52,0.19,0.29,0,96.7,0,0,0,0,0,0,0,0,0,3.3,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,295,PVT,1103,67,228,134,525,201,1050,60,108,5835,342,0,828,10425,15029,NONE,NONE
2257,33,11,2454262.5,1,3.01,40,265,3146,1473,8.8,84,433,5.1,Loam,0.48,0.22,0.3,0,70,0,0,0,16.7,10,0,0,0,0,3.3,0,0,93.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,1.2,0,0,0,0,0,0,0,88.9,0,0,0,405,USFWS,2060,42,379,134,192,134,3173,67,933,6664,4354,0,711,10772,17874,SOIL,MED
2259,24,11,2454256.5,1,2.49,18,286,5135,1616,6.9,79,359,5.3,Sandy Clay Loam,0.52,0.25,0.22,0,93.3,0,0,0,0,6.7,0,0,0,0,0,0,0,73.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.4,0,0,0,20,USFS,1399,150,42,60,1664,1045,830,0,469,1801,3078,816,2312,4082,10874,NONE,NONE
3094,27,27,2454649.5,1,1.97,33,505,2021,1798,11.1,132,284,4.7,Sandy Loam,0.71,0.1,0.19,0,33.3,0,0,26.7,0,40,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.7,0,0,0,10,MDWFP,726,30,30,524,794,424,1413,0,180,4572,395,134,421,3403,6166,SOIL,LOW
64,13,13,2457995.5,2,2.42,69,135,914,116,3,10,348,5.5,Sandy Loam,0.72,0.05,0.23,0,81.7,0,0,0,13.3,5,0,0,0,0,0,0,0,36.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,60,USFS,649,247,134,0,1194,661,2724,339,234,5090,2279,1020,1092,4310,8897,FIRE,LOW
65,22,10,2457978.5,2,2.1,46,241,1404,508,4.4,11,302,4.8,Sandy Loam,0.54,0.15,0.31,0,94.7,0,0,0,0.3,0,0,0,0,0,6.7,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,195,USFS,592,150,180,0,2072,1945,2242,170,60,3361,2001,1176,2394,3773,9534,NONE,LOW
123,24,20,2457892.5,2,2.36,142,197,2374,1021,5.3,43,340,4.7,Clay Loam,0.41,0.27,0.32,0,78,0,0,0,0.3,0,0,0,0,0,21.7,0,0,95,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,76,5,5,5,660,USFWS,977,342,636,360,0,741,750,301,631,3520,751,60,808,1740,13382,FLOOD,LOW
161,20,14,2457984.5,2,3.6,79,379,4442,1811,23.7,28,518,5.7,Loam,0.4,0.24,0.36,0,89.7,0.3,0,0,0,0,0,0,0,0,10,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,400,USFS,771,247,390,256,769,420,589,0,488,3856,418,342,892,1905,10881,NONE,NONE
162,19,11,2457978.5,2,2.62,31,172,1573,634,3.6,26,377,5.4,Silt Loam,0.31,0.12,0.57,0,93.3,0,0,0,1.7,0,0,0,0,0,5,0,0,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,5,215,USFS,0,192,240,175,660,752,3282,90,700,3030,1167,277,1550,1194,7755,FIRE,LOW
201,23,22,2457995.5,2,3.6,52,78,516,98,4.9,10,518,4.1,Sandy Loam,0.63,0.07,0.3,0,90,1.7,0,0,1.7,0,0,0,0,0,6.7,0,0,78.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,300,MDWFP,124,90,331,150,691,402,830,0,272,5432,361,182,600,2330,11705,NONE,NONE
202,34,12,2457893.5,2,3.12,36,343,2236,621,2.9,28,449,5.1,Sandy Loam,0.58,0.12,0.3,0,41.7,0,0,0,0,35,0,0,0,0,23.3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,315,USFWS,912,0,553,366,1510,900,1822,90,488,7262,3268,95,721,9301,17142,FIRE,HIGH
414,24,20,2457892.5,2,1.49,73,146,609,505,6.2,26,215,4.4,Loam,0.46,0.17,0.37,0.3,89.7,0,0,0,0,0,0,0,0,0,10,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0.4,0,0,86,0,10,5,570,USFWS,759,481,541,510,192,660,1106,721,636,3939,824,0,751,1790,12980,FLOOD,LOW
415,34,18,2457899.5,2,2.62,187,394,2865,1244,20.5,79,377,4.8,Clay Loam,0.25,0.33,0.42,0,75,0,0,0,0,3.3,0,0,0,0,8.3,6.7,0,97.25,0,0,0,0.3,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,84.8,0,10,5,295,USFWS,277,451,630,272,362,968,379,547,1084,9881,2123,0,451,5350,12131,STORM,HIGH
416,30,18,2457895.5,2,3.12,323,349,1577,908,23.1,42,449,4.5,Clay Loam,0.26,0.28,0.46,0,25,0,0,0,0,65,0,0,0,0,6.7,3.3,0,95,0.8,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.9,0,0,5,1080,USFWS,1924,594,886,700,1354,2809,2337,866,1537,6224,4763,0,3180,7590,12930,FLOOD,MED
1008,1,9,2457974.5,2,3.9,75,496,7977,1735,13.5,17,562,6.6,Loam,0.41,0.15,0.44,0,90,0,0,0,3.3,1.7,0,0,0,0,5,0,0,89.25,0.9,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,525,MDWFP,983,153,518,0,2831,1112,1798,216,95,7032,1655,361,1987,2644,7353,NONE,NONE
1041,17,12,2457974.5,2,1.09,20,130,541,392,3.4,19,157,4.8,Sandy Loam,0.62,0.14,0.24,0,85,0,0,0,5,3.3,0,0,0,0,6.7,0,0,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.3,0,0,0,55,USFS,767,0,30,242,849,702,3077,30,85,3913,124,85,841,366,8040,NONE,NONE
1082,20,9,2457891.5,2,0.36,99,327,7281,700,6.4,16,52,5.9,Loam,0.49,0.16,0.35,0,98.3,0,0,0,0,1.7,0,0,0,0,0,0,0,95.5,0,0,0,0,0,0.1,0.3,0,0,0,0,0.1,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0,0,0,0,0,480,USFS,201,67,510,0,1535,830,1566,150,484,1140,698,793,2929,3120,6565,NONE,NONE
1141,8,7,2457982.5,2,1.94,35,193,937,377,5.2,11,279,4.9,Loam,0.43,0.11,0.46,0,93,0,0,0,1.7,0,0,0,0,0,5.3,0,0,91,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.8,0,0.5,0,0,0,0,0,0,0,0,0,0,0,140.3,0,0,0,285,MDWFP,391,67,859,0,2919,875,2069,170,67,6427,1221,1261,4236,4543,5777,NONE,NONE
1159,16,16,2457988.5,2,3.5,91,435,1984,1225,13.4,35,504,4.9,Loam,0.41,0.16,0.43,0,81.7,0,0,0,5,0,0,0,0,0,13.3,0,0,94.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.8,0,0.5,0,0,0,0,0,0,0,129.5,0,0,10,65,USFS,1006,124,42,42,541,0,182,182,30,3615,309,175,742,4447,8946,NONE,NONE
1268,2,19,2457998.5,2,2.85,74,315,3333,1620,12.3,29,410,5.4,Sandy Loam,0.54,0.17,0.29,0,71.3,0,0,0,0.3,16.7,0,0,0,0,11.7,0,0,91.75,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,1.3,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.5,0,0,0,200,MDWFP,360,0,510,30,454,90,1865,60,85,5740,859,162,212,1262,4307,FLOOD,LOW
1321,9,10,2457982.5,2,0.95,18,81,261,82,2,8,137,5,Silt Loam,0.33,0.14,0.53,0,85,0,0,0,5,5,0,0,0,0,5,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,120,USFS,1292,192,150,0,1279,42,1350,90,30,8360,537,218,815,7315,7836,STORM,LOW
1341,16,7,2457984.5,2,1.49,38,216,1497,788,8.9,19,215,5,Sandy Clay Loam,0.58,0.2,0.22,0,33.3,1.7,0,0,3.3,45,0,0,0,0,3.3,13.3,0,93,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.4,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,138.2,0,0,15,40,USFS,162,30,150,0,1209,210,150,42,42,2296,268,424,1230,3229,3296,FLOOD,LOW
1363,15,4,2457891.5,2,3.6,46,299,797,489,3.8,17,518,4.3,Loam,0.45,0.16,0.39,0,86.7,0,0,0,0,0,0,0,0,0,13.3,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,USFS,1889,42,424,150,1302,841,1595,0,488,2763,446,408,2524,987,1036,FIRE,LOW
1365,4,14,2457890.5,2,2.85,71,298,2913,373,19.4,8,410,6.4,Loam,0.49,0.1,0.41,0,95,0,0,0,3.3,1.7,0,0,0,0,0,0,0,90,0,0,0,0,0,0.8,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,159,0,0,0,25,MDWFP,1064,67,124,0,2522,1965,2493,30,42,6396,2827,480,4264,4756,6804,NONE,NONE
1412,1,13,2457993.5,2,2.94,95,174,1322,335,4.8,20,423,5.5,Silt Loam,0.38,0.11,0.51,0,91.7,0,0,0,1.7,0,0,0,0,0,6.7,0,0,46.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.2,0,10,25,105,MDWFP,1075,67,85,95,888,908,120,0,847,3545,153,134,2093,2110,3944,NONE,NONE
1457,2,18,2457890.5,2,1.94,27,249,2363,905,4.8,24,279,5.5,Clay Loam,0.39,0.3,0.31,0,86.7,0,0,0,8.3,0,0,0,0,0,5,0,0,90.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,135,0,0,0,290,USFS,323,127,969,42,1608,175,2666,277,0,4924,1679,391,1440,1844,4024,FLOOD,LOW
1487,3,13,2457890.5,2,2.48,51,184,1196,229,3.7,10,357,5.4,Sandy Loam,0.61,0.12,0.27,0,91.7,0,0,0,3.3,0,0,0,0,0,5,0,0,73.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,40,MDWFP,1159,60,379,124,1862,1350,1883,0,240,5755,2343,272,4331,4500,6162,NONE,NONE
1531,3,15,2457890.5,2,3.6,111,265,3125,1151,9.7,28,518,4.9,Loam,0.45,0.18,0.37,0,61.7,0,0,0,0,0,0,0,0,0,5,0,0,87.75,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,25,MDWFP,1570,182,85,0,2684,966,1907,90,402,4801,1426,660,3279,2694,4938,NONE,NONE
1539,10,5,2457891.5,2,2.18,90,210,2075,1235,11,42,314,4.9,Silt Loam,0.25,0.21,0.54,0,93.3,0,0,0,0,5,0,0,0,0,1.7,0,0,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,245,MDWFP,210,30,513,0,859,553,1861,67,474,3763,570,134,2741,2698,3516,FLOOD,MED
1550,19,14,2457977.5,2,2.55,53,406,2359,1583,7.1,45,367,5,Loam,0.34,0.22,0.44,0,91.3,0,0,0,2,1.7,0,0,0,0,5,0,0,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.4,0,0,0,80,USFS,767,30,85,42,1318,781,607,0,540,4508,150,153,551,2643,10671,NONE,NONE
2001,28,20,2457892.5,2,2.18,49,147,980,162,2.9,8,314,5.7,Sandy Loam,0.7,0.08,0.22,0,95,0,0,0,5,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,330,USFWS,741,258,330,379,2079,2287,2300,0,451,5304,2864,60,3101,5372,11870,NONE,NONE
2020,32,18,2457898.5,2,1.69,150,170,1003,574,8.9,11,243,4.8,Loam,0.52,0.1,0.39,0,98.3,0,0,0,1.7,0,0,0,0,0,0,0,0,97.75,0,0,0,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,330,USFWS,1822,870,1776,920,987,1771,890,977,1951,7692,3132,0,1998,7371,12961,FLOOD,LOW
2023,32,10,2457888.5,2,3.7,108,305,4357,1051,11,33,533,5.2,Loam,0.43,0.22,0.35,0.3,79.7,0,0,0,20,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,50,USFWS,1624,42,42,30,661,400,3852,30,680,5633,3770,0,1952,10573,17485,FIRE,MED
2028,32,11,2457888.5,2,2.85,96,347,1491,664,5.5,52,410,3.6,Silt Loam,0.23,0.25,0.52,0,100,0,0,0,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,106.8,0,0,0,22,USFWS,1736,182,90,573,604,765,3218,30,531,5016,4244,0,2078,9733,17186,FIRE,LOW
2035,22,24,2457893.5,2,3.21,64,302,3158,1190,10.6,52,462,5.4,Loam,0.46,0.17,0.37,0,91.7,0,0,0,6.7,0,0,0,0,0,1.7,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,225,USFWS,1959,67,268,234,933,366,955,0,569,8002,977,30,446,4422,9922,NONE,NONE
2041,33,16,2457898.5,2,1.69,19,103,400,216,2.3,16,243,4.7,Loam,0.43,0.15,0.42,0,25,0,0,0,5,63.3,0,0,0,0,6.7,0,0,95.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0.4,0,0,0,0.1,0,0,97.9,0,0,0,80,USFWS,912,162,67,750,1189,1200,1909,524,1263,8424,2618,0,1129,9462,16093,FIRE,HIGH
2051,25,7,2457889.5,2,2.18,40,286,2222,798,3.7,22,314,5.2,Loam,0.51,0.19,0.3,0,95,0,0,0,0,1.7,0,0,0,0,3.3,0,0,87.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.2,0,0,0,245,USFWS,1343,42,228,201,1465,1022,2335,0,400,3326,2192,210,2318,6998,9992,FIRE,LOW
2052,28,7,2457877.5,2,3.6,129,508,6372,1760,8.6,58,518,5,Clay Loam,0.3,0.3,0.4,0,91.7,0,0,0,0,0,0,0,0,0,8.3,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.6,0,0,0,118,0,0,0,195,USFWS,1003,30,190,0,636,488,1140,60,362,4135,607,134,1106,8953,13074,NONE,NONE
2061,32,8,2457877.5,2,3.6,165,378,3960,1613,3.9,75,518,4.9,Clay Loam,0.29,0.33,0.38,0,100,0,0,0,0,0,0,0,0,0,0,0,0,81.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,116,0,0,0,265,USFWS,607,234,295,480,560,1616,2746,0,1291,5799,2232,391,2496,11146,16779,FIRE,LOW
